 YY XX    OLR1   U8501    OLR2   U8502    OLR3    U8503   OLR4   U8504
  4 30 -0.0245 -0.0096 -0.0020  0.0171 -0.0149  0.0053 -0.0071 -0.0017
  4 31 -0.0229 -0.0128 -0.0042  0.0163 -0.0148  0.0052 -0.0049 -0.0003
  4 32 -0.0208 -0.0150 -0.0058  0.0159 -0.0152  0.0044 -0.0081  0.0009
  4 33 -0.0086 -0.0148 -0.0072  0.0159 -0.0077  0.0021 -0.0060  0.0012
  4 34 -0.0083 -0.0130 -0.0077  0.0164 -0.0084 -0.0009 -0.0026  0.0009
  4 35 -0.0066 -0.0109 -0.0091  0.0168 -0.0082 -0.0034 -0.0082  0.0007
  4 36 -0.0060 -0.0085 -0.0085  0.0166 -0.0080 -0.0051 -0.0100  0.0009
  4 37 -0.0079 -0.0059 -0.0105  0.0155 -0.0072 -0.0066 -0.0089  0.0015
  4 38 -0.0064 -0.0038 -0.0103  0.0143 -0.0051 -0.0085 -0.0060  0.0023
  4 39 -0.0099 -0.0032 -0.0084  0.0134 -0.0017 -0.0108 -0.0030  0.0033
  4 40 -0.0034 -0.0041 -0.0141  0.0131  0.0024 -0.0134  0.0003  0.0048
  4 41  0.0013 -0.0064 -0.0204  0.0130  0.0073 -0.0158  0.0002  0.0067
  4 42  0.0004 -0.0097 -0.0230  0.0129  0.0103 -0.0175  0.0015  0.0085
  4 43  0.0007 -0.0133 -0.0249  0.0120  0.0108 -0.0185  0.0014  0.0092
  4 44 -0.0005 -0.0160 -0.0245  0.0097  0.0098 -0.0192  0.0038  0.0082
  4 45  0.0013 -0.0171 -0.0237  0.0063  0.0107 -0.0209  0.0053  0.0058
  4 46 -0.0003 -0.0175 -0.0209  0.0027  0.0099 -0.0240  0.0046  0.0030
  4 47 -0.0004 -0.0178 -0.0206 -0.0002  0.0109 -0.0278  0.0030  0.0008
  4 48  0.0001 -0.0178 -0.0169 -0.0024  0.0110 -0.0306  0.0027 -0.0004
  4 49  0.0001 -0.0169 -0.0127 -0.0044  0.0145 -0.0316  0.0035 -0.0009
  5  1  0.0000  0.0030  0.0031  0.0032  0.0104  0.0040  0.0004  0.0021
  5  2 -0.0014  0.0052  0.0040  0.0044  0.0112  0.0088  0.0014  0.0028
  5  3 -0.0017  0.0083  0.0035  0.0051  0.0113  0.0148 -0.0003  0.0032
  5  4 -0.0015  0.0109  0.0037  0.0049  0.0118  0.0206 -0.0016  0.0031
  5  5 -0.0016  0.0131  0.0065  0.0038  0.0134  0.0256 -0.0013  0.0022
  5  6 -0.0032  0.0153  0.0095  0.0026  0.0156  0.0297  0.0006  0.0009
  5  7 -0.0040  0.0176  0.0107  0.0020  0.0176  0.0329  0.0009 -0.0004
  5  8 -0.0042  0.0198  0.0135  0.0020  0.0142  0.0357  0.0009 -0.0012
  5  9 -0.0063  0.0217  0.0138  0.0020  0.0093  0.0389  0.0000 -0.0021
  5 10 -0.0101  0.0234  0.0116  0.0016  0.0022  0.0430  0.0009 -0.0035
  5 11 -0.0143  0.0251  0.0093  0.0012 -0.0039  0.0481  0.0002 -0.0056
  5 12 -0.0166  0.0270  0.0085  0.0013 -0.0103  0.0539 -0.0002 -0.0077
  5 13 -0.0210  0.0293  0.0091  0.0018 -0.0162  0.0601 -0.0003 -0.0091
  5 14 -0.0254  0.0322  0.0110  0.0024 -0.0227  0.0669  0.0007 -0.0092
  5 15 -0.0295  0.0346  0.0153  0.0038 -0.0292  0.0747  0.0029 -0.0084
  5 16 -0.0311  0.0358  0.0179  0.0069 -0.0339  0.0829  0.0051 -0.0069
